user_category,content
前显示屏类,花屏
前屏裂类,屏裂
第三方程序异常类,软件闪退，打电话没有声音
前屏裂类,用户反馈手机突然黑屏，
充电类,充不进电
用户描述无故障（纯服务类）,贴膜，赠送手机套
用户描述无故障（纯服务类）,贴膜
前屏裂类,不显示
前屏裂类,内屏裂。后盖裂
开关机类,定在iQOO
用户描述无故障（纯服务类）,要皮套5073012
前屏裂类,黑屏  一张卡
前屏裂类,屏碎
前屏裂类,屏裂无显示
开关机类,无电池盖，进液
用户描述无故障（纯服务类）,用户忘记锁屏密码
前屏裂类,机器屏裂
用户描述无故障（纯服务类）,机器密码忘记
内置程序异常类,机器内存不足
死机类,手机死机
用户描述无故障（纯服务类）,锁屏密码忘记
充电类,用户反馈机器充电接触不良
前置拍照类,前置摄像头无作用
前显示屏类,不开机
前显示屏类,显示花屏
前屏裂类,右上角屏幕裂
前屏裂类,屏幕破裂8.17
用户描述无故障（纯服务类）,忘记密码，
前显示屏类,闪屏
用户描述无故障（纯服务类）,会员贴膜和手机套
用户描述无故障（纯服务类）,贴膜
前屏裂类,屏裂
前触摸屏类,触屏失灵
用户描述无故障（纯服务类）,贴膜
前屏裂类,显示屏裂触屏裂
开关机类,卡vivo界面
使用时间类,耗电快
网络信号类,不读卡
用户描述无故障（纯服务类）,贴膜
前屏裂类,内屏裂
用户描述无故障（纯服务类）,膜裂贴膜
充电类,充电时间过长
充电类,充电慢
前屏裂类,花屏
前屏裂类,换屏
使用时间类,耗电快
前显示屏类,其他
前屏裂类,屏裂
前显示屏类,黑屏
前屏裂类,屏碎 后盖碎 电池变形
用户描述无故障（纯服务类）,密码忘记
用户描述无故障（纯服务类）,锁屏密码忘记，资料不保
用户描述无故障（纯服务类）,会员贴膜、领取手机壳、清洗保养
前屏裂类,显示屏漏液  无卡
前屏裂类,屏裂
前屏裂类,用户描述故障屏幕裂，换屏
开关机类,用户描述故障开不了机，显示vivo界面
前显示屏类,屏幕线条
用户描述无故障（纯服务类）,贴膜
前屏裂类,屏裂
前屏裂类,屏裂
前屏裂类,，屏裂，后盖裂，只换屏
外观结构类,09:59 资料不保
用户描述无故障（纯服务类）,11:44资料不保
用户描述无故障（纯服务类）,进水
通话类,电话打出打进都无声无法接听，开免提正常使用
充电类,不充电
前屏裂类,机器屏裂
电池盖裂类,屏破，电池盖盖破，中框弯曲变形断裂
用户描述无故障（纯服务类）,手机壳
前屏裂类,黑屏
前屏裂类,其他
前屏裂类,其他
前置拍照类,其他
用户描述无故障（纯服务类）,用户账号密码忘记（屏裂不处理）
通话类,用户反馈 通话自己听不见
前屏裂类,用户描述手机屏幕破裂，后盖破裂
充电类,用户描述手机不能充电
网络信号类,网络信号不好
用户描述无故障（纯服务类）,贴膜
用户描述无故障（纯服务类）,14:06资料不保
前屏裂类,屏幕不显示  
用户描述无故障（纯服务类）,贴膜
电池盖裂类,更换后盖
充电类,其他 
前屏裂类,顺丰取件异常原因:经客户同意，更改收派时间;顺丰取件异常原因:下错单需转单;屏幕破裂 
外观结构类,其他、电池盖破损
后屏裂类,换屏 卡顿
前置拍照类,其他
前屏裂类,屏幕裂，
使用时间类,看电视的时候手机漏电，发热，备份联系人，图片
前屏裂类,用户反馈机器屏幕裂
前屏裂类,换屏
前屏裂类,屏幕破裂
前屏裂类,屏幕破裂，后盖破裂（2张sim卡) 8.15
网络信号类,打不出电话8.16
前屏裂类,屏幕破裂 8.16
前屏裂类,显示屏破裂
用户描述无故障（纯服务类）,领取保护壳
开关机类,不开机
充电类,充电接口接触不良
前显示屏类,显示屏花屏
充电类,耗电快，付费换电池
用户描述无故障（纯服务类）,无故障，贴保护膜
前屏裂类,屏裂
充电类,充电接触不良
死机类,卡顿、死机，软件进不去
用户描述无故障（纯服务类）,贴膜
前显示屏类,用户描述故障闪屏
用户描述无故障（纯服务类）,贴膜
前屏裂类,用户描述故障屏幕裂，换屏
前置拍照类,资料不保 
用户描述无故障（纯服务类）,忘记VIVO账户密码
重启类,会自动系统优化关机 
前屏裂类,其他
前屏裂类,屏幕破裂 
前屏裂类,15:52资料不保 
前屏裂类,16:33资料不保
用户描述无故障（纯服务类）,刷机
前屏裂类,屏裂 换屏
电池盖裂类,检测报价
前屏裂类,屏幕破裂屏幕破裂
充电类,不开机
充电类,充电不满
音频类,检测
开关机类,其他
网络信号类,其他
前屏裂类,屏裂
SIM卡类,手机不读卡
前屏裂类,内屏裂
用户描述无故障（纯服务类）,要求贴前后膜，要求清洗
用户描述无故障（纯服务类）,锁屏密码忘记，资料不保
音频类,耳机接触不良
电池盖裂类,后盖裂
用户描述无故障（纯服务类）,刷机，内存有余但是下载软件都显示内存不足
使用时间类,待机时间短 清理下手机 更换贴膜
用户描述无故障（纯服务类）,更换贴膜 保护壳 清洁手机
电池盖裂类,磨损 外壳裂
前屏裂类,屏裂
网络信号类,用户反馈 耗电快 没信号
电池盖裂类,屏裂 后盖裂（帮老婆送修）
前屏裂类,屏裂
前屏裂类,屏裂
前显示屏类,进水 
充电类,不充电提示温度过低无法充电
网络信号类,无信号
充电类,不能充电
前屏裂类,爆屏无显示，要求换屏，第三方碎屏险
用户描述无故障（纯服务类）,贴膜
用户描述无故障（纯服务类）,忘记密码
使用时间类,耗电快
充电类,不充电，只送修充电线与保卡
前显示屏类,黑屏无显示
上网类,使用软件网络差
反应慢/不流畅类,手机卡机，同意刷机资料不能保留
外观结构类,显示屏脱胶
开关机类,不开机
前屏裂类,屏裂
前显示屏类,不显示
用户描述无故障（纯服务类）,贴膜
外观结构类,用户描述故障电池盖掉漆，，换电池盖，电池不耐电换电池
开关机类,用户描述手机不开机
前屏裂类,屏裂
通话类,听筒无声
前屏裂类,屏裂
用户描述无故障（纯服务类）,贴膜
前屏裂类,屏裂
前屏裂类,屏幕破裂 、其他 
用户描述无故障（纯服务类）,16:23资料不保
前置伸缩类,前置摄像头坏
发热类,手机发烫，手机信号差，贴膜
用户描述无故障（纯服务类）,用户在外面换过屏幕 想检测手机是否有其他问题
用户描述无故障（纯服务类）,反馈听筒处有几个洞有发白，怀疑机器被用过，要求帮其拆机检测是否是二手机
用户描述无故障（纯服务类）,贴膜
用户描述无故障（纯服务类）,贴膜
前屏裂类,屏碎
前显示屏类,有时黑屏
前屏裂类,显示屏裂910换
前触摸屏类,屏幕有时划不上去
音频类,预约更换扬声器
使用时间类,更换电池
前显示屏类,屏幕一半黑屏
前显示屏类,换屏
前屏裂类,屏裂 换屏
用户描述无故障（纯服务类）,贴膜
充电类,换屏
前显示屏类,不开机
通话类,其他
用户描述无故障（纯服务类）,其他
用户描述无故障（纯服务类）,贴膜
前屏裂类,内屏裂，
前显示屏类,黑屏（漏液），后盖裂
前屏裂类,爆屏无显示，要求换屏
前屏裂类,屏幕破裂
用户描述无故障（纯服务类）,免费送手机套和膜
用户描述无故障（纯服务类）,换扬声器
前触摸屏类,触屏失灵
前触摸屏类,触屏不灵敏
用户描述无故障（纯服务类）,无故障，贴保护膜
前屏裂类,显示屏破裂
前屏裂类,屏幕破裂
前显示屏类,黑屏
开关机类,开机停留在vivo 界面
音频类,用户描述故障耳机断节在里面
GPS类,导航信号弱
前屏裂类,要求检测维修价值，备份照片，联系人
前屏裂类,屏裂
前屏裂类,屏裂
前屏裂类,显示屏裂
前屏裂类,屏裂无显示630换
前屏裂类,显示屏裂630换
前显示屏类,屏幕有白点
前屏裂类,屏裂无显示910换
前屏裂类,屏裂无显示
开关机类,不开机 
充电类,机器充电接触不良
前屏裂类,屏裂
前显示屏类,屏幕有花点
充电类,充电无反应
前屏裂类,屏裂
前屏裂类,屏裂
前屏裂类,黑屏
前显示屏类,闪屏
用户描述无故障（纯服务类）,贴膜送壳
前屏裂类,屏幕破裂
通话类,听筒声音小
前屏裂类,显示屏破裂
电池盖裂类,电池盖裂
用户描述无故障（纯服务类）,忘记密码解锁
用户描述无故障（纯服务类）,膜花
前屏裂类,内屏裂
外观结构类,屏裂，电池盖裂，机身变形
用户描述无故障（纯服务类）,贴膜
前屏裂类,屏幕破裂
用户描述无故障（纯服务类）,膜花贴膜
其他类,用户描述手机进液进液，后置摄像头有水
用户描述无故障（纯服务类）,用户忘记账号密码 要求刷机同意资料不保留
前屏裂类,屏裂，机身变形，后壳翘起
前屏裂类,屏幕破裂 
SIM卡类,顺丰取件异常原因:经客户同意，更改收派时间;其他 
前显示屏类,换屏，
使用时间类,后置摄像头里面有指纹印 耗电快 领取保护套
电池盖裂类,换后盖
按键类,AI键卡键
充电类,充不进电，连接充电器时触屏无反应
前屏裂类,用户描述手机屏幕破裂，后盖磕印，后摄像镜片破裂
用户描述无故障（纯服务类）,保护膜刮花
其他类,16:50资料不保
用户描述无故障（纯服务类）,贴前膜
用户描述无故障（纯服务类）,刷机
前屏裂类,换屏
前显示屏类,玩的过程中会黑屏
电池盖裂类,后盖裂
开关机类,无法开机
电池盖裂类,不充电，微信视频不清楚
指纹识别类,指纹不能用
重启类,重启
前屏裂类,其他
用户描述无故障（纯服务类）,表示忘记密码
通话类,用户反馈 通话杂音
其他类,下载计算机
前屏裂类,屏裂
开关机类,充不进电 会自动关机
用户描述无故障（纯服务类）,手机壳 手机保养
重度社交应用类,微信语音声音杂 发烫
前屏裂类,屏幕破
开关机类,不开机
前屏裂类,屏幕破裂
用户描述无故障（纯服务类）,贴膜
用户描述无故障（纯服务类）,贴膜
开关机类,挂机
前屏裂类,屏裂
使用时间类,用户描述手机待机电池不耐用
前屏裂类,屏裂
前显示屏类,显示有竖线
用户描述无故障（纯服务类）,送手机套 清洗
前屏裂类,屏裂
前屏裂类,显示漏液
充电类,不能充电
前屏裂类,屏裂
前显示屏类,机器黑屏
前屏裂类,机器屏裂
电池盖裂类,其他
用户描述无故障（纯服务类）,其他
前屏裂类,其他
开关机类,反馈不开机
前屏裂类,屏裂
前显示屏类,（第三方碎屏险）屏幕不显示
前屏裂类,屏裂
用户描述无故障（纯服务类）,机器忘记密码
前屏裂类,屏破
前屏裂类,用户反馈机器屏幕裂
电池盖裂类,电池盖裂
开关机类,系统进不去
前屏裂类,屏裂，电池盖裂
前屏裂类,换屏
开关机类,处vivo界面
前屏裂类,屏幕破
充电类,尾插接触不良
前置伸缩类,电池盖裂
前显示屏类,屏幕显示花屏
外观结构类,镜片裂
其他类,反馈空间 不足
电池盖裂类,屏裂后盖裂
前屏裂类,屏裂
内置程序异常类,忘记密码要求刷机
前屏裂类,0
用户描述无故障（纯服务类）,更换贴膜 保护套
前屏裂类,屏裂
充电类,不充电，电池盖裂
前屏裂类,机器屏裂
前屏裂类,机器屏裂
充电类,机器充电接口松
反应慢/不流畅类,机器玩游戏反应慢，发热
开关机类,无限重启
SIM卡类,指纹无法录入，卡一，卡二不显示
用户描述无故障（纯服务类）,会员贴膜
通话类,用户反馈机器听筒小
前屏裂类,用户反馈机器屏幕裂
用户描述无故障（纯服务类）,忘记密码
前屏裂类,屏幕破裂 
指纹识别类,黑屏 检测
前屏裂类,屏裂
前屏裂类,后盖裂 屏裂 更换后盖屏幕（碎屏险）
开关机类,检测
前显示屏类,其他 
反应慢/不流畅类,卡顿
前屏裂类,黑屏
前屏裂类,黑屏
用户描述无故障（纯服务类）,用户反馈 软件上不要提示信息显示
前屏裂类,屏裂
电池盖裂类,后盖空隙 保修更换后盖
开关机类,不开机保修更换主板
充电类,不能充电，充电就提示嘟嘟声
前屏裂类,屏碎
音频类,用户反馈手机外放声音小
前屏裂类,屏幕破裂
反应慢/不流畅类,卡机
用户描述无故障（纯服务类）,用户忘记解锁密码，刷机
外观结构类,后盖裂，后镜片裂，要求更换
用户描述无故障（纯服务类）,用户要求贴膜，暂无现货，用户不预定
用户描述无故障（纯服务类）,更换贴膜 保护壳 清洁手机
用户描述无故障（纯服务类）,贴膜
通话类,通话接收音小
前屏裂类,显示屏裂
网络信号类,信号不满格的情况下移动网络用不了，打不出打不进
前显示屏类,显示黑团
使用时间类,发热，耗电大，用大概7小时左右
其他类,进水
通话类,打电话有噪音
按键类,电源键坏
充电类,9:00资料不保
前屏裂类,屏幕破裂 
用户描述无故障（纯服务类）,11:48资料不保
前屏裂类,手机进水，检测清洗
用户描述无故障（纯服务类）,信号差 贴膜
SIM卡类,不读卡
外观结构类,屏裂，后盖裂，机身变形
外观结构类,屏裂
充电类,充不进电
用户描述无故障（纯服务类）,贴膜
用户描述无故障（纯服务类）,会员贴膜
前屏裂类,内屏裂
前屏裂类,屏裂，后盖裂
前屏裂类,屏幕漏液，充电口松动
前屏裂类,屏裂，机器外拆
前屏裂类,屏裂
前屏裂类,屏裂
前屏裂类,换屏
用户描述无故障（纯服务类）,忘记密码，刷机，资料不保，已告知不开机风险
后置拍照类,后摄打不开
用户描述无故障（纯服务类）,刷机
使用时间类,玩游戏耗电快
用户描述无故障（纯服务类）,贴膜
前屏裂类,内屏裂
用户描述无故障（纯服务类）,会员贴膜
开关机类,充不进电不开机
通话类,通话无发送
用户描述无故障（纯服务类）,贴膜，领手机壳
用户描述无故障（纯服务类）,忘记锁屏密码
用户描述无故障（纯服务类）,贴膜
前屏裂类,换屏
前显示屏类,进液 显示黑屏
前屏裂类,其他
开关机类,不开机
前显示屏类,反馈闪屏
外观结构类,售后接到机器无屏幕
前屏裂类,换屏
前屏裂类,屏幕裂严重，机身轻微弯曲变形，摄像头处磕损
前屏裂类,屏裂
GPS类,GPS信号弱
前屏裂类,屏裂
外观结构类,电池盖脱胶
用户描述无故障（纯服务类）,会员领取保护套
开关机类,用户描述手机进液，不开机
前屏裂类,屏裂无显示 私拆
前屏裂类,机器屏裂
电池盖裂类,机器后盖裂
指纹识别类,指纹无法录入，卡一，卡二不显示
用户描述无故障（纯服务类）,送手机套
充电类,用户反馈机器不闪充
前屏裂类,用户反馈机器屏幕裂
前屏裂类,用户反馈机器屏幕裂
前屏裂类,屏裂
前屏裂类,顺丰取件异常原因:经客户同意，更改收派时间;其他 
前屏裂类,屏裂
前屏裂类,屏裂，外拆，非原装屏幕，开关键不灵敏
按键类,屏裂，外拆，非原装屏幕，开关键不灵敏
充电类,不充电
前屏裂类,显示黑屏
前屏裂类,屏破，送手机套
前屏裂类,屏破
前显示屏类,用户反馈机器显示黑屏
用户描述无故障（纯服务类）,贴膜
前屏裂类,屏裂
前置伸缩类,摄像头无法弹出
前屏裂类,屏裂
前显示屏类,屏幕起翘
前屏裂类,屏裂
使用时间类,反馈无线网有时不能连接，卡顿反应慢，耗电比较快
用户描述无故障（纯服务类）,忘记密码   1张卡
后置拍照类,无法连接相机
前屏裂类,内屏裂
前屏裂类,屏幕裂
外观结构类,爆屏无显示，后镜片裂
前显示屏类,无显示
用户描述无故障（纯服务类）,忘记密码，不充电
前屏裂类,内屏破裂
音频类,扬声器沙哑
前显示屏类,其他 
开关机类,不开机
前屏裂类,内屏破裂
通话类,打电话对方听不到
死机类,用户描述机器软件自动打开，死机，无信号
前屏裂类,内屏破裂
前显示屏类,闪屏
充电类,充电接触不良
重启类,死机重启
前屏裂类,其他
电池盖裂类,屏裂 后盖裂
前屏裂类,屏幕裂，摄像头镜片无
前显示屏类,反馈黑屏
通话类,用户反馈 通话对方有回声
前屏裂类,闪屏
用户描述无故障（纯服务类）,刷机
开关机类,自动关机
电池盖裂类,屏碎 后盖碎 用户购买的不是官方碎屏保
前屏裂类,屏裂无显示
前屏裂类,屏幕破裂 
前屏裂类,显示屏漏液 
通话类,通话声音低，开免提声音也低
开关机类,黑屏无显示
通话类,打电话没声音
GPS类,手机使用导航功能，有时候没有反映，用户反映手机网络一会好一会不好
开关机类,定屏vivo，用户要求刷机，资料不保
前屏裂类,屏裂， 后盖裂严重
通话类,用户反馈手机无送话
前屏裂类,换屏
前屏裂类,无卡  显示屏漏液
前屏裂类,换屏
通话类,有数花屏，听筒偶尔听不到，反应慢，会自动解锁 
前屏裂类,不开机 
开关机类,开机卡爱vivo界面 ，同意资料不保 8.16
前屏裂类,内屏裂
充电类,不充电，充电死机
SIM卡类,不读卡
电池盖裂类,屏幕破裂，后盖破裂 8.17
前屏裂类,换屏
电池盖裂类,其他
使用时间类,其他
充电类,尾插接触不良
前屏裂类,花屏
按键类,按键失灵
前显示屏类,软件闪退，打电话没有声音
前显示屏类,用户反馈玩的时候 手机会黑屏 几分钟后会恢复
前屏裂类,屏裂
后置拍照类,换屏
充电类,不充电 通话时双方听到的声音都模糊
开关机类,其他 
开关机类,机器不开机
开关机类,显示黑屏
开关机类,用户反馈机器不开机不充电
前显示屏类,进液   无卡
开关机类,不开机   无卡
开关机类,不开机
充电类,不充电 后盖裂
前屏裂类,屏裂无显示660换
前屏裂类,屏裂无显示
充电类,不充电
前屏裂类,屏裂
SIM卡类,不读卡
后置拍照类,机器后置摄像头不能拍照
前置拍照类,机器前置摄像头有时不能拍照，经常死机
前屏裂类,机器屏裂
充电类,不能充电
前屏裂类,内屏破裂
通话类,用户反馈机器听筒外放声音小
用户描述无故障（纯服务类）,贴膜
前屏裂类,用户反馈机器异常
开关机类,换摄像头，电池盖
用户描述无故障（纯服务类）,无故障，贴膜，赠送保护套，清洗保养
用户描述无故障（纯服务类）,无故障，贴膜
前屏裂类,用户描述手机屏幕破裂
开关机类,用户描述手机不能开机
前屏裂类,屏裂
前屏裂类,屏裂
用户描述无故障（纯服务类）,信号差 贴膜
电池盖裂类,换后盖
电池盖裂类,屏裂 后盖裂 检测 报价
通话类,通话声音慢慢变小
前屏裂类,屏裂
前显示屏类,显示黑屏，不开机
外观结构类,通话无发送
使用时间类,耳机无声，耗电快
充电类,电池盖破裂，不充电
充电类,用户描述手机充不进电
前屏裂类,显示屏破裂
用户描述无故障（纯服务类）,无故障，贴保护膜
用户描述无故障（纯服务类）,保护膜磨花
前屏裂类,屏裂，机身变形
充电类,不充电
前屏裂类,屏幕破裂
前显示屏类,显示竖线
充电类,进水
重启类,自动关机
充电类,检测
前屏裂类,换屏
前屏裂类,屏幕破裂，电池盖破裂
用户描述无故障（纯服务类）,用户要求降级
前屏裂类,爆屏。发热
前屏裂类,内屏裂
前屏裂类,显示屏裂
前屏裂类,自动开关机
前屏裂类,屏裂，后摄像头破裂，充电接触不良
前屏裂类,11:40资料不保
前置伸缩类,14:55资料不保
反应慢/不流畅类,用户反馈手机反应特别慢，打开应用程序要好几秒才有反应
电池盖裂类,后盖裂 屏裂 更换后盖屏幕（碎屏险）
前置拍照类,换屏
前屏裂类,换屏
用户描述无故障（纯服务类）,保护膜刮花
使用时间类,电池不耐用
用户描述无故障（纯服务类）,10:36资料不保
使用时间类,16:09资料不保
前屏裂类,换屏，
前显示屏类,黑屏 检测
重度社交应用类,微信视频时声音断断续续
按键类,侧按键不灵
开关机类,检测
前屏裂类,顺丰取件异常原因:经客户同意，更改收派时间;屏幕破裂 
用户描述无故障（纯服务类）,解密，换电池
前屏裂类,换屏
用户描述无故障（纯服务类）,更换贴膜
用户描述无故障（纯服务类）,更换贴膜 保护套
前屏裂类,屏裂
开关机类,机器不开机
前屏裂类,机器屏裂
充电类,充电接触不良
前屏裂类,屏破、电池盖破裂不修
电池盖裂类,电池盖破，显示黑屏
前屏裂类,电池盖破，显示黑屏
用户描述无故障（纯服务类）,要求注册会员贴膜
用户描述无故障（纯服务类）,要求注册会员，贴膜，送手机套
前置伸缩类,前置摄像头镜片破裂变形无法弹出
前屏裂类,屏裂
充电类,黑屏，非原装屏幕
充电类,充电充不进
开关机类,不能开机
前屏裂类,屏幕破裂
音频类,手机玩游戏（吃鸡，和平精英）有出现两次杂音，听音乐声音小
前显示屏类,黑屏
前屏裂类,屏裂
充电类,换屏
前屏裂类,其他
用户描述无故障（纯服务类）,其他
开关机类,开机vivo
其他类,用户反馈 手机会振动 过一会儿就会振动
反应慢/不流畅类,数据和无线网络差
前屏裂类,用户反馈机器屏幕裂
前屏裂类,换屏
用户描述无故障（纯服务类）,解锁
开关机类,不开机
前屏裂类,屏幕破裂
外观结构类,屏幕破裂，镜片裂
使用时间类,耗电快，闪退
音频类,喇叭杂音  8.16
前触摸屏类,触屏失灵，跳屏 
充电类,不能充电，扬声器杂音
前屏裂类,更换屏幕、后盖，中框不处理
前屏裂类,内屏裂无显示
前屏裂类,显示屏破裂
前屏裂类,换屏
前触摸屏类,触屏有时不灵敏 
前屏裂类,屏裂，电池盖裂暂时不修，需要导资料
前显示屏类,机器花屏
前屏裂类,屏裂
电池盖裂类,屏裂。后盖裂，机身轻微变形
前屏裂类,屏裂
前屏裂类,屏裂 
前屏裂类,屏裂
音频类,连接蓝牙耳机导航时来了电话接完耳机没有声音
用户描述无故障（纯服务类）,贴膜
SIM卡类,刷机
前显示屏类,11:10资料不保
按键类,开关键失灵
前屏裂类,换屏
前显示屏类,黑屏，闪屏
通话类,其他
SIM卡类,其他
前显示屏类,其他
前屏裂类,屏坏
开关机类,用户反馈 开机vivo
前屏裂类,显示屏破裂
开关机类,不开机
GPS类,导航信号弱，无法导航
开关机类,不开机，自动关机
前显示屏类,黑屏
电池盖裂类,电池盖裂 后置镜片刮花 中框磕损
充电类,充电异常
用户描述无故障（纯服务类）,膜花贴膜
前显示屏类,屏闪
使用时间类,耗电快
前屏裂类,屏裂
其他类,进水
前屏裂类,屏幕破裂
前屏裂类,用户描述故障屏幕裂，换屏
重度社交应用类,用户描述手机微信语音听不清
用户描述无故障（纯服务类）,贴膜送壳
音频类,耳机孔松动
开关机类,进液，不开机
前触摸屏类,触屏失灵
前屏裂类,屏幕破裂
音频类,耳机坏
前屏裂类,显示屏花，显示屏非原装
前屏裂类,爆屏
开关机类,无法开机
电池盖裂类,后盖裂
前屏裂类,爆屏，外屏已缺失
用户描述无故障（纯服务类）,忘记密码
后置拍照类,后置摄像花
用户描述无故障（纯服务类）,密码忘记
电池盖裂类,电池盖破损  
前屏裂类,屏裂
开关机类,定vivo界面
反应慢/不流畅类,0909卡机
使用时间类,耗电快
电池盖裂类,屏幕破裂 、电池盖破损 
充电类,不能充电
前屏裂类,屏裂
其他类,不开机（充电开机）检测什么故障
用户描述无故障（纯服务类）,贴膜送壳
外观结构类,后盖开胶
电池盖裂类,后盖破裂
前屏裂类,屏幕破裂 
后置拍照类,后置拍照坏
使用时间类,耗电快
前屏裂类,屏裂
前屏裂类,屏裂
前屏裂类,屏裂
指纹识别类,指纹识别设备异常
前屏裂类,换屏
充电类,不充电
开关机类,卡vivo界面
前屏裂类,换屏
开关机类,无法开机，循环vivo
Wi-Fi类,WiFi连接两天会断开
音频类,耳机插不进
外观结构类,不开机
外观结构类,其他
前屏裂类,屏幕破裂 、电池盖破损 
开关机类,其他
前屏裂类,屏幕裂严重，机身轻微弯曲变形
前屏裂类,屏裂
其他类,反馈充电松动
充电类,用户反馈 不充电
上网类,用户反馈 数据网络用不了
电池盖裂类,少后盖，显示黑屏，
用户描述无故障（纯服务类）,用户要求重装系统，检测手机
前屏裂类,内屏裂
电池盖裂类,更换屏幕、后盖，中框不处理
前屏裂类,更换屏幕，后盖不处理
用户描述无故障（纯服务类）,免费贴膜和手机套
用户描述无故障（纯服务类）,刷机
开关机类,会自动关机无法开机，尾插充电接触不好
前屏裂类,触摸屏裂
网络信号类,无信号
用户描述无故障（纯服务类）,反馈信号不好，wifi和蓝牙都不能自动连接
前屏裂类,屏破，电池盖破（不修）
开关机类,不开机
充电类,充电冲到70就开始不冲了
充电类,充不进电
用户描述无故障（纯服务类）,贴膜，手机壳
GPS类,GPS信号弱
电池盖裂类,后盖裂
用户描述无故障（纯服务类）,贴膜，送手机套
后显示屏类,前后显示屏有影子
充电类,充电接触不良
开关机类,电量%20自动关机
前屏裂类,屏裂 换屏
前屏裂类,顺丰取件异常原因:经客户同意，更改收派时间;屏幕破裂 
前屏裂类,其他
前屏裂类,其他
音频类,其他
前屏裂类,其他
开关机类,开机NEX
开关机类,不开机
用户描述无故障（纯服务类）,贴膜
前屏裂类,换屏
充电类,其他
网络信号类,反馈打电话掉线
开关机类,进液   无卡
通话类,听筒声音小
开关机类,不开机
充电类,充电不了
通话类,声音小
前显示屏类,手机开关机有时失灵，闪屏
前屏裂类,屏幕破裂，镜片裂
前显示屏类,黑屏（漏液）
通话类,送话声音小  
充电类,不能充电
使用时间类,屏幕破裂，显示屏变色，换电池
充电类,屏裂
用户描述无故障（纯服务类）,会员贴膜  4875392
通话类,听筒无声
前屏裂类,显示花屏
前屏裂类,屏裂
前显示屏类,屏幕显示异常
充电类,充电时充电头发热（附件送修）
前屏裂类,屏裂，后盖裂，一起换
其他类,偶尔打电话会断，按键不灵
网络信号类,无信号
电池&安全类,后盖分离
前屏裂类,屏裂
前屏裂类,16:11资料不保
开关机类,12.22资料不保 不开机
前屏裂类,屏幕裂
前屏裂类,屏裂 后盖裂（帮老婆送修）
前屏裂类,手机屏裂 进液 报价不修 
前屏裂类,换屏
前屏裂类,多次联系用户表示不是自己的手机 联系店里 报价不修  机身变形 前置无法升起 无法正常开机使用 
前置拍照类,摄像头打不开
前屏裂类,屏碎黑屏
前屏裂类,屏碎
前显示屏类,用户反馈手机摔了一下黑屏
充电类,用户反馈手机不充电
通话类,无送话
前显示屏类,无显示
用户描述无故障（纯服务类）,免费贴膜 
通话类,问题待测 
前屏裂类,显示屏裂
SIM卡类,卡槽取不出
前屏裂类,屏裂1160换
前屏裂类,触摸屏裂
用户描述无故障（纯服务类）,机器忘记密码
外观结构类,机器后盖磨损
外观结构类,屏破，机身弯曲变形
充电类,用户反馈机器不开机不充电
通话类,听筒声音小
用户描述无故障（纯服务类）,贴膜 手机壳
后置拍照类,后置摄像头损坏 ，不开机开机停留在vivo 界面
用户描述无故障（纯服务类）,无故障，贴保护膜，清洗
前屏裂类,屏裂
用户描述无故障（纯服务类）,忘记密码
前屏裂类,屏幕裂 后盖裂
前显示屏类,屏幕偶尔会出现彩条
前屏裂类,资料不保
开关机类,10:08资料不保 
用户描述无故障（纯服务类）,贴膜，配保护套
用户描述无故障（纯服务类）,贴膜
前屏裂类,换屏
用户描述无故障（纯服务类）,手机经常会死机，要求系统降级，资料不保，已告知不开机风险
上网类,手机4g网络不好，死机
开关机类,不开机，强制重启好了，检测
用户描述无故障（纯服务类）,贴膜
前屏裂类,内屏裂
后屏裂类,内屏破裂
前屏裂类,屏破，
用户描述无故障（纯服务类）,免费贴膜
前屏裂类,屏幕破裂，分层，上网发热
开关机类,不能开机
用户描述无故障（纯服务类）,用户忘记解锁密码，刷机
前触摸屏类,听筒无声，触屏有时不灵
网络信号类,无信号
充电类,无信号
开关机类,不开机
电池盖裂类,更换屏幕，后盖不处理
前显示屏类,闪屏
使用时间类,换电池
音频类,耳机插不到位，进入纸团
前屏裂类,屏破裂
使用时间类,耗电快
前屏裂类,内屏裂
开关机类,开机死机
开关机类,开机停留在recovery界面 8.15
网络信号类,信号格灰暗
开关机类,显示黑屏，不开机
前显示屏类,显示屏闪
前屏裂类,屏幕破裂，变形
通话类,送话小声
后屏裂类,后屏裂
前屏裂类,屏裂，后盖裂，机身变形
用户描述无故障（纯服务类）,贴膜
前屏裂类,显示屏裂触屏裂 
用户描述无故障（纯服务类）,忘记密码
前触摸屏类,触屏失灵
前屏裂类,屏裂
用户描述无故障（纯服务类）,贴膜
前屏裂类,手机变形 屏裂
用户描述无故障（纯服务类）,贴膜，送手机壳
开关机类,黑屏，开不了机
用户描述无故障（纯服务类）,贴膜，送手机套
用户描述无故障（纯服务类）,贴膜
电池盖裂类,后盖破裂，听筒无声
前屏裂类,更换屏幕
音频类,用户描述手机外放杂音
外观结构类,屏裂，电池盖裂
前触摸屏类,触屏失灵，自动关机
上网类,上网慢
用户描述无故障（纯服务类）,刷机
用户描述无故障（纯服务类）,忘记密码
前屏裂类,屏裂
前置伸缩类,前置摄像头无法缩回
用户描述无故障（纯服务类）,贴膜
外观结构类,后摄拍照模糊，镜片裂，贴膜
前显示屏类,有时黑屏
通话类,通话有噪音
